Category,Type,Brand Name,Size,Strength,Retailer margin,Round Off,Special Purpose Fee,MRP,Bottle/case,,,,,,,,,,,,,,,,
IMFL,Beer,AMSTEL Super Premium Strong Beer,500 ml,,,,,140,24,,,,,,,,,,,,,,,,
IMFL,Beer,AMSTEL Super Premium Strong Beer,650  ml,,,,,145,12,,,,,,,,,,,,,,,,
IMFL,Beer,Beck's Ice Superior Strength,500 ml,,,,,115,24,,,,,,,,,,,,,,,,
IMFL,Beer,Beck's Ice Superior Strength,650  ml,,,,,135,12,,,,,,,,,,,,,,,,
IMFL,Beer,BIRA91 BLONDE SUMMER LAGER BEER,330 ml,,5.21,0.32,10,90,24,,,,,,,,,,,,,,,,
IMFL,Beer,BIRA91 BLONDE SUMMER LAGER BEER,500 ml,,,,10,155,24,,,,,,,,,,,,,,,,
IMFL,Beer,BIRA91 BLONDE SUMMER LAGER BEER,650  ml,,,,10,170,12,,,,,,,,,,,,,,,,
IMFL,Beer,BIRA91 GOLD WHEAT STRONG BEER,500 ml,,,,,180,24,,,,,,,,,,,,,,,,
IMFL,Beer,BIRA91 GOLD WHEAT STRONG BEER,650  ml,,,,,200,12,,,,,,,,,,,,,,,,
IMFL,Beer,Budweiser Magnum Strong Beer,330 ml,,5.41,2.38,0,85,24,,,,,,,,,,,,,,,,
IMFL,Beer,Budweiser Magnum Strong Beer,500 ml,,8.38,1.85,0,130,24,,,,,,,,,,,,,,,,
IMFL,Beer,Budweiser Magnum Strong Beer,650  ml,,10.69,1.56,0,165,12,,,,,,,,,,,,,,,,
IMFL,Beer,Budweiser Premium King Of Beers,330 ml,,4.64,4.02,0,75,24,,,,,,,,,,,,,,,,
IMFL,Beer,Budweiser Premium King Of Beers,500 ml,,7.27,3.85,0,115,24,,,,,,,,,,,,,,,,
IMFL,Beer,Budweiser Premium King Of Beers,650  ml,,9.19,4.49,0,145,12,,,,,,,,,,,,,,,,
IMFL,Beer,Carlsberg Premium Elephant Strong,650  ml,,9.14,0.31,0,140,12,,,,,,,,,,,,,,,,
IMFL,Beer,Carlsberg SMOOTH PREMIUM LAGER,330 ml,,3.95,4.56,0,65,24,,,,,,,,,,,,,,,,
IMFL,Beer,Carlsberg SMOOTH PREMIUM LAGER,650  ml,,7.83,0.38,0,120,12,,,,,,,,,,,,,,,,
IMFL,Beer,Corona Extra Premium Beer,330 ml,,11.23,3.3,10,185,24,,,,,,,,,,,,,,,,
IMFL,Beer,Fosters Lager Beer,330 ml,,,,,55,24,,,,,,,,,,,,,,,,
IMFL,Beer,Fosters Lager Beer,500 ml,,,,,85,24,,,,,,,,,,,,,,,,
IMFL,Beer,Fosters Lager Beer,650  ml,,,,,105,12,,,,,,,,,,,,,,,,
IMFL,Beer,HAYWARDS 5000 PREMIUM STRONG BEER,500 ml,,6.46,1.25,0,100,24,,,,,,,,,,,,,,,,
IMFL,Beer,HAYWARDS 5000 PREMIUM STRONG BEER,650  ml,,7.71,2.21,0,120,12,,,,,,,,,,,,,,,,
