Barcode1,Barcode2,Barcode3,Brand code,Category,Type,Brand Name,Size,Strength,Retailer margin,Round Off,Special Purpose Fee,MRP,Bottle/case
8908000000000,,,0101052013/0030,CS,Country Spirit,ALPHA's RACE,600 ml,60,5.92,1.24,0,120,20
8908010000000,,,0101052020/0006,CS,Country Spirit,ASD,600 ml,60,5.92,1.24,0,120,20
8906010000000,,,0101052015/0015,CS,Country Spirit,AVON,600 ml,60,5.92,1.24,0,120,20
8908010000000,,,0101052019/0008,CS,Country Spirit,BABU MOSHAI,600 ml,60,5.92,1.24,0,120,20
8908000000000,,,0101052014/0011,CS,Country Spirit,BAGH,600 ml,60,5.92,1.24,0,120,20
8908010000000,,,0101052021/0019,CS,Country Spirit,BAZIGAR,300 ml,70,2.29,0.02,0,28,30
8908010000000,,,0101052018/0036,CS,Country Spirit,Bengal Fighter,600 ml,60,5.92,1.24,0,120,20
,,,0101052014/0006,CS,Country Spirit,Bengal Tiger Premium,600 ml,60,5.92,1.24,0,120,20
,,,0101052016/0025,CS,Country Spirit,Bengal Tiger STRONG,600 ml,60,5.92,1.24,0,120,20
8908010000000,,,0101052014/0048,CS,Country Spirit,BENGAL'S PRIDE,600 ml,60,5.92,1.24,0,120,20
8908010000000,,,0101052019/0005,CS,Country Spirit,Best Taste,600 ml,60,5.92,1.24,0,120,20
8908000000000,,,0101052021/0027,CS,Country Spirit,BHAI,300 ml,70,2.29,0.02,0,28,30
8908010000000,,,0101052015/0030,CS,Country Spirit,BINDASH,600 ml,60,5.92,1.24,0,120,20
8908010000000,,,0101052016/0017,CS,Country Spirit,BINDASH PREMIUM,600 ml,60,5.92,1.24,0,120,20
8908010000000,,,0101052021/0029,CS,Country Spirit,BIRAT,300 ml,70,2.29,0.02,0,28,30
,,,0101052019/0004,CS,Country Spirit,BLACK TWISTER,600 ml,60,5.92,1.24,0,120,20
8908010000000,,,0101052016/0022,CS,Country Spirit,Blu,600 ml,80,4.19,2.04,0,55,20
,,,0101052021/0024,CS,Country Spirit,BUL BUL,300 ml,70,2.29,0.02,0,28,30
8908010000000,,,0101052013/0072,CS,Country Spirit,Bullet,600 ml,60,5.92,1.24,0,120,20
,,,0101052021/0003,CS,Country Spirit,BUMPHER,300 ml,70,2.29,0.02,0,28,30
8908010000000,,,0101052013/0036,CS,Country Spirit,Captain,600 ml,60,5.92,1.24,0,120,20
,,,0101052013/0041,CS,Country Spirit,Champion,600 ml,60,5.92,1.24,0,120,20
8908010000000,,,0101052018/0042,CS,Country Spirit,Charlee,600 ml,60,5.92,1.24,0,120,20
8908000000000,,,0101052013/0028,CS,Country Spirit,DADA,600 ml,60,5.92,1.24,0,120,20
8908010000000,,,0101052017/0016,CS,Country Spirit,DIL DIAMOND,600 ml,80,4.19,2.04,0,55,20
8908010000000,,,0101052013/0073,CS,Country Spirit,DIL KHUSH,600 ml,80,4.19,2.04,0,55,20
8908010000000,,,0101052014/0039,CS,Country Spirit,Dil Se,600 ml,60,4.19,2.04,0,55,20
8908010000000,,,0101052015/0035,CS,Country Spirit,DILRUBA,600 ml,80,4.19,2.04,0,55,20
8908010000000,,,0101052017/0007,CS,Country Spirit,DILWALE,600 ml,80,4.19,2.04,0,55,20
