Barcode1,Barcode2,Barcode3,Brand code,Category,Type,Brand Name,Size,Strength,Retailer margin,Round Off,Special Purpose Fee,MRP,Bottle/case
8908003033174,,,0101052013/0030,CS,Country Spirit,Alpha's Race,600 ml,60,5.92,1.24,0,120,20
8908008924217,,,0101052020/0006,CS,Country Spirit,Asd,600 ml,60,5.92,1.24,0,120,20
8906005740021,,,0101052015/0015,CS,Country Spirit,Avon,600 ml,60,5.92,1.24,0,120,20
8908008981111,,,0101052019/0008,CS,Country Spirit,Babu Moshai,600 ml,60,5.92,1.24,0,120,20
8908003033228,,,0101052014/0011,CS,Country Spirit,Bagh,600 ml,60,5.92,1.24,0,120,20
8908007281250,,,0101052021/0019,CS,Country Spirit,Bazigar,300 ml,70,2.29,0.02,0,28,30
8908009155153,,,0101052018/0036,CS,Country Spirit,Bengal Fighter,600 ml,60,5.92,1.24,0,120,20
,,,0101052014/0006,CS,Country Spirit,Bengal Tiger Premium,600 ml,60,5.92,1.24,0,120,20
,,,0101052016/0025,CS,Country Spirit,Bengal Tiger Strong,600 ml,60,5.92,1.24,0,120,20
8908008981098,,,0101052014/0048,CS,Country Spirit,Bengal's Pride,600 ml,60,5.92,1.24,0,120,20
8908008939280,,,0101052019/0005,CS,Country Spirit,Best Taste,600 ml,60,5.92,1.24,0,120,20
8908003033464,,,0101052021/0027,CS,Country Spirit,Bhai,300 ml,70,2.29,0.02,0,28,30
8908008936005,,,0101052015/0030,CS,Country Spirit,Bindash,600 ml,60,5.92,1.24,0,120,20
8908008936036,,,0101052016/0017,CS,Country Spirit,Bindash Premium,600 ml,60,5.92,1.24,0,120,20
8908008936142,,,0101052021/0029,CS,Country Spirit,Birat,300 ml,70,2.29,0.02,0,28,30
,,,0101052019/0004,CS,Country Spirit,Black Twister,600 ml,60,5.92,1.24,0,120,20
8908008910029,,,0101052016/0022,CS,Country Spirit,Blu,600 ml,80,4.19,2.04,0,55,20
,,,0101052021/0024,CS,Country Spirit,Bul Bul,300 ml,70,2.29,0.02,0,28,30
8908008938078,,,0101052013/0072,CS,Country Spirit,Bullet,600 ml,60,5.92,1.24,0,120,20
,,,0101052021/0003,CS,Country Spirit,Bumpher,300 ml,70,2.29,0.02,0,28,30
8908007179236,,,0101052013/0036,CS,Country Spirit,Captain,600 ml,60,5.92,1.24,0,120,20
,,,0101052013/0041,CS,Country Spirit,Champion,600 ml,60,5.92,1.24,0,120,20
8908010566207,,,0101052018/0042,CS,Country Spirit,Charlee,600 ml,60,5.92,1.24,0,120,20
8908003033181,,,0101052013/0028,CS,Country Spirit,Dada,600 ml,60,5.92,1.24,0,120,20
8908007822149,,,0101052017/0016,CS,Country Spirit,Dil Diamond,600 ml,80,4.19,2.04,0,55,20
8908008938009,,,0101052013/0073,CS,Country Spirit,Dil Khush,600 ml,80,4.19,2.04,0,55,20
8908007179205,,,0101052014/0039,CS,Country Spirit,Dil Se,600 ml,60,4.19,2.04,0,55,20
8908008936067,,,0101052015/0035,CS,Country Spirit,Dilruba,600 ml,80,4.19,2.04,0,55,20
8908009155023,,,0101052017/0007,CS,Country Spirit,Dilwale,600 ml,80,4.19,2.04,0,55,20
8908008930096,,,0101052014/0053,CS,Country Spirit,Dynamic A1,600 ml,60,4.19,2.04,0,55,20
8908008930058,,,0101052014/0051,CS,Country Spirit,Dynamic Blast,600 ml,60,5.92,1.24,0,120,20
8908008981166,,,0101052021/0034,CS,Country Spirit,Fantus,300 ml,70,2.29,0.02,0,28,30
8908008939273,,,0101052019/0001,CS,Country Spirit,Franky No. 1 Premium,600 ml,60,5.92,1.24,0,120,20
,,,0101052020/0018,CS,Country Spirit,Galaxy Boss,600 ml,60,5.92,1.24,0,120,20
8906003946227,,,0101052021/0015,CS,Country Spirit,Globus Mahua,300 ml,70,2.29,0.02,0,28,30
8906003946166,,,0101052021/0021,CS,Country Spirit,Globus Taza,600 ml,60,5.92,1.24,0,120,20
8906003944919,,,0101052020/0002,CS,Country Spirit,Goldee Black,600 ml,60,5.92,1.24,0,120,20
8906003942915,,,0101052018/0001,CS,Country Spirit,Goldee Blue,600 ml,60,5.92,1.24,0,120,20
8906003942564,,,0101052018/0023,CS,Country Spirit,Goldee Red,600 ml,60,5.92,1.24,0,120,20
8908008942129,,,0101052021/0009,CS,Country Spirit,Guru,300 ml,70,2.29,0.02,0,28,30
,,,0101052015/0044,CS,Country Spirit,Happy Gold (pet),600 ml,60,5.92,1.24,0,120,20
,,,0101052021/0013,CS,Country Spirit,Happy Jio,300 ml,70,2.29,0.02,0,28,30
8908007179151,,,0101052013/0012,CS,Country Spirit,Hero,600 ml,60,5.92,1.24,0,120,20
8908008918315,,,0101052021/0023,CS,Country Spirit,Himalayan Fata Fati,300 ml,70,2.29,0.02,0,28,30
8908008918230,,,0101052013/0008,CS,Country Spirit,Himalayan Gold,600 ml,60,5.92,1.24,0,120,20
8908008918063,,,0101052014/0061,CS,Country Spirit,Himalayan Tuk Tuk,600 ml,80,4.19,2.04,0,55,20
