Category,Type,Brand Name,Size,Opening Stock
CS,Country Spirit,Alpha's Race,600 ml,50
CS,Country Spirit,Asd,600 ml,50
CS,Country Spirit,Avon,600 ml,50
CS,Country Spirit,Babu Moshai,600 ml,50
CS,Country Spirit,Bagh,600 ml,50
CS,Country Spirit,Bazigar,300 ml,50
CS,Country Spirit,Bengal Fighter,600 ml,50
CS,Country Spirit,Bengal Tiger Premium,600 ml,50
CS,Country Spirit,Bengal Tiger Strong,600 ml,50
CS,Country Spirit,Bengal's Pride,600 ml,50
CS,Country Spirit,Best Taste,600 ml,50
CS,Country Spirit,Bhai,300 ml,50
CS,Country Spirit,Bindash,600 ml,50
CS,Country Spirit,Bindash Premium,600 ml,50
CS,Country Spirit,Birat,300 ml,50
CS,Country Spirit,Black Twister,600 ml,50
CS,Country Spirit,Blu,600 ml,50
CS,Country Spirit,Bul Bul,300 ml,50
CS,Country Spirit,Bullet,600 ml,50
CS,Country Spirit,Bumpher,300 ml,50
CS,Country Spirit,Captain,600 ml,50
CS,Country Spirit,Champion,600 ml,50
CS,Country Spirit,Charlee,600 ml,50
CS,Country Spirit,Dada,600 ml,50
CS,Country Spirit,Dil Diamond,600 ml,50
CS,Country Spirit,Dil Khush,600 ml,50
CS,Country Spirit,Dil Se,600 ml,50
CS,Country Spirit,Dilruba,600 ml,50
CS,Country Spirit,Dilwale,600 ml,50
CS,Country Spirit,Dynamic A1,600 ml,50
CS,Country Spirit,Dynamic Blast,600 ml,50
CS,Country Spirit,Fantus,300 ml,50
CS,Country Spirit,Franky No. 1 Premium,600 ml,50
CS,Country Spirit,Galaxy Boss,600 ml,50
CS,Country Spirit,Globus Mahua,300 ml,50
CS,Country Spirit,Globus Taza,600 ml,50
CS,Country Spirit,Goldee Black,600 ml,50
CS,Country Spirit,Goldee Blue,600 ml,50
CS,Country Spirit,Goldee Red,600 ml,50
CS,Country Spirit,Guru,300 ml,50
CS,Country Spirit,Happy Gold (pet),600 ml,50
CS,Country Spirit,Happy Jio,300 ml,50
CS,Country Spirit,Hero,600 ml,50
CS,Country Spirit,Himalayan Fata Fati,300 ml,50
CS,Country Spirit,Himalayan Gold,600 ml,50
CS,Country Spirit,Himalayan Tuk Tuk,600 ml,50
CS,Country Spirit,Jackpot Premium,600 ml,50
CS,Country Spirit,Jd,600 ml,50
CS,Country Spirit,Jella,300 ml,50
CS,Country Spirit,Jhakaaas Premium,600 ml,50
CS,Country Spirit,Josh,600 ml,50
CS,Country Spirit,Joy,600 ml,50
CS,Country Spirit,Kachi,300 ml,50
CS,Country Spirit,Kps No 1,600 ml,50
CS,Country Spirit,Kps No1 Super Strong,600 ml,50
CS,Country Spirit,Leader,600 ml,50
CS,Country Spirit,Madira,300 ml,50
CS,Country Spirit,Magic Blue 80,600 ml,50
CS,Country Spirit,Mardaana,300 ml,50
CS,Country Spirit,Mastan,300 ml,50
CS,Country Spirit,Masti,300 ml,50
CS,Country Spirit,Maya,600 ml,50
CS,Country Spirit,Mejaj,600 ml,50
CS,Country Spirit,Millennium Royal,600 ml,50
CS,Country Spirit,Moharaja Bulet (pet),600 ml,50
CS,Country Spirit,Monalisa Blue,600 ml,50
CS,Country Spirit,Monalisa Blue (pet),600 ml,50
CS,Country Spirit,Monalisa Gold,600 ml,50
CS,Country Spirit,Monalisa Gold (pet),600 ml,50
CS,Country Spirit,Monalisa Mithi,300 ml,50
CS,Country Spirit,Mou No.1,300 ml,50
CS,Country Spirit,Nasha Strong,600 ml,50
CS,Country Spirit,Oye Oye,300 ml,50
CS,Country Spirit,P. K. Badsha,600 ml,50
CS,Country Spirit,P. K. Saheb,600 ml,50
CS,Country Spirit,Prakash 60,600 ml,50
CS,Country Spirit,Premium Red,600 ml,50
CS,Country Spirit,Pure Gold,600 ml,50
CS,Country Spirit,Pure Mahua,300 ml,50
CS,Country Spirit,Python,300 ml,50
CS,Country Spirit,Queen Royal Spirit,600 ml,50
CS,Country Spirit,Raja Strong,600 ml,50
CS,Country Spirit,Rana,600 ml,50
CS,Country Spirit,Rd,600 ml,50
CS,Country Spirit,Rkdstrong80,600 ml,50
CS,Country Spirit,S. K. Dey's Jd,600 ml,50
CS,Country Spirit,Sake,600 ml,50
CS,Country Spirit,Saki,600 ml,50
CS,Country Spirit,Sengupta's Punch,600 ml,50
CS,Country Spirit,Sengupta's Punch Platinum,600 ml,50
CS,Country Spirit,Sengupta's Spark,600 ml,50
CS,Country Spirit,Skd's Mohul,300 ml,50
CS,Country Spirit,Sms Rocket,600 ml,50
CS,Country Spirit,Sultan Premium,600 ml,50
CS,Country Spirit,Sun Fighter Spirit,600 ml,50
CS,Country Spirit,Teen Kuri,600 ml,50
